السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,54,320,137,183,523,516,7,,,,,,,,,,
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,1,221,207,14,213,212,1,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,184,122,65,57,287,285,2,,,,,,,,,,
2023,1,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,6,239,130,109,329,326,3,,,,,,,,,,
2023,1,منطقة الباحة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,7,2,2,0,13,13,0,,,,,,,,,,
2023,1,منطقة الجوف,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,3,12,8,4,23,23,0,,,,,,,,,,
2023,1,منطقة الجوف,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,17,6,2,4,33,33,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,1,4,4,0,26,26,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,12,2,2,0,26,26,0,,,,,,,,,,
2023,1,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,159,898,365,533,1322,1287,35,,,,,,,,,,
2023,1,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,2,312,187,125,319,313,6,,,,,,,,,,
2023,1,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,411,226,98,128,738,712,26,,,,,,,,,,
2023,1,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,18,681,364,317,1046,1035,11,,,,,,,,,,
2023,1,منطقة القصيم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,13,31,16,15,94,92,2,,,,,,,,,,
2023,1,منطقة القصيم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,80,24,11,13,158,157,1,,,,,,,,,,
2023,1,منطقة المدينة المنورة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,28,134,58,76,254,249,5,,,,,,,,,,
2023,1,منطقة المدينة المنورة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,145,84,47,37,233,225,8,,,,,,,,,,
2023,1,منطقة تبوك,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,7,30,19,11,75,75,0,,,,,,,,,,
2023,1,منطقة تبوك,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,40,16,7,9,67,64,3,,,,,,,,,,
2023,1,منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,2,9,2,7,17,17,0,,,,,,,,,,
2023,1,منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,26,15,6,9,41,41,0,,,,,,,,,,
2023,1,منطقة حائل,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,8,31,12,19,67,65,2,,,,,,,,,,
2023,1,منطقة حائل,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,20,10,8,2,42,42,0,,,,,,,,,,
2023,1,منطقة عسير,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,2,11,4,7,19,19,0,,,,,,,,,,
2023,1,منطقة عسير,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,59,32,17,15,113,113,0,,,,,,,,,,
2023,1,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,200,846,500,346,1635,1603,32,,,,,,,,,,
2023,1,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,1,249,240,9,32,31,1,,,,,,,,,,
2023,1,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,721,490,295,195,1230,1198,32,,,,,,,,,,
2023,1,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,12,581,319,262,545,542,3,,,,,,,,,,
2023,1,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,4,6,3,3,29,29,0,,,,,,,,,,
2023,1,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,15,9,5,4,28,28,0,,,,,,,,,,
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,صغيرة,138,122,47,75,1229,1228,1,,,,,,,,,,
2023,1,المنطقة الشرقية,صيد الأسماك وتربية المائيات,متناهية الصغر,2055,183,82,101,5887,5873,14,,,,,,,,,,
2023,1,منطقة الباحة,صيد الأسماك وتربية المائيات,صغيرة,2,0,0,0,13,13,0,,,,,,,,,,
2023,1,منطقة الباحة,صيد الأسماك وتربية المائيات,متناهية الصغر,131,9,5,4,370,370,0,,,,,,,,,,
2023,1,منطقة الجوف,صيد الأسماك وتربية المائيات,صغيرة,3,5,1,4,13,13,0,,,,,,,,,,
2023,1,منطقة الجوف,صيد الأسماك وتربية المائيات,متناهية الصغر,609,43,27,16,1301,1293,8,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صيد الأسماك وتربية المائيات,صغيرة,1,3,1,2,16,16,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صيد الأسماك وتربية المائيات,متناهية الصغر,222,19,11,8,643,642,1,,,,,,,,,,
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,صغيرة,847,612,289,323,5813,5782,31,,,,,,,,,,
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,متناهية الصغر,107429,8541,4149,4392,320241,318328,1913,,,,,,,,,,
2023,1,منطقة الرياض,صيد الأسماك وتربية المائيات,متوسطة,4,98,23,75,294,294,0,,,,,,,,,,
2023,1,منطقة القصيم,صيد الأسماك وتربية المائيات,صغيرة,22,14,6,8,166,165,1,,,,,,,,,,
2023,1,منطقة القصيم,صيد الأسماك وتربية المائيات,متناهية الصغر,2705,206,92,114,8079,8062,17,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صيد الأسماك وتربية المائيات,صغيرة,28,21,14,7,256,256,0,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صيد الأسماك وتربية المائيات,متناهية الصغر,1220,108,67,41,3241,3162,79,,,,,,,,,,
2023,1,منطقة تبوك,صيد الأسماك وتربية المائيات,صغيرة,21,2,0,2,205,205,0,,,,,,,,,,
2023,1,منطقة تبوك,صيد الأسماك وتربية المائيات,متناهية الصغر,469,38,18,20,1192,1188,4,,,,,,,,,,
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,صغيرة,59,87,61,26,675,674,1,,,,,,,,,,
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,متناهية الصغر,963,67,32,35,2357,2336,21,,,,,,,,,,
2023,1,منطقة جازان,صيد الأسماك وتربية المائيات,متوسطة,3,37,23,14,329,328,1,,,,,,,,,,
2023,1,منطقة حائل,صيد الأسماك وتربية المائيات,صغيرة,25,8,4,4,156,156,0,,,,,,,,,,
2023,1,منطقة حائل,صيد الأسماك وتربية المائيات,متناهية الصغر,5042,324,147,177,14732,14698,34,,,,,,,,,,
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,صغيرة,32,42,32,10,246,246,0,,,,,,,,,,
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,متناهية الصغر,1100,61,27,34,2510,2499,11,,,,,,,,,,
2023,1,منطقة عسير,صيد الأسماك وتربية المائيات,متوسطة,1,6,2,4,44,44,0,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,صغيرة,111,78,42,36,844,839,5,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,كبيرة,1,271,248,23,2028,2025,3,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متناهية الصغر,6265,496,256,240,16053,15518,535,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متوسطة,2,31,30,1,248,248,0,,,,,,,,,,
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,صغيرة,20,11,2,9,140,140,0,,,,,,,,,,
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,متناهية الصغر,2197,141,69,72,6365,6351,14,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,667,1957,1141,816,7591,7582,9,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),كبيرة,23,7051,6345,706,6473,6462,11,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,1486,452,244,208,3397,3395,2,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,111,3037,2190,847,8358,8348,10,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,21,23,13,10,120,120,0,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,327,50,34,16,661,661,0,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,28,35,24,11,239,239,0,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,311,29,25,4,698,697,1,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,19,35,19,16,225,225,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,121,17,6,11,293,290,3,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,963,3064,1267,1797,12531,12482,49,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),كبيرة,18,2327,1442,885,6480,6457,23,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,2666,632,291,341,6043,6014,29,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,174,4104,2067,2037,13034,13007,27,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,169,336,190,146,1632,1630,2,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),كبيرة,1,117,96,21,376,376,0,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,1240,185,104,81,2973,2968,5,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,9,164,101,63,654,653,1,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,97,198,91,107,974,973,1,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,667,114,66,48,1543,1541,2,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,9,337,219,118,748,746,2,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,33,70,42,28,360,359,1,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,227,40,22,18,562,561,1,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,2,43,21,22,117,116,1,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,42,91,57,34,361,360,1,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,844,87,51,36,2073,2071,2,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,1,15,5,10,41,41,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,56,112,42,70,600,600,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,238,45,21,24,528,525,3,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,2,55,37,18,66,66,0,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,90,231,130,101,921,921,0,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,1111,159,82,77,2565,2565,0,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,8,109,57,52,513,513,0,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,374,1042,514,528,4484,4455,29,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),كبيرة,9,930,679,251,2426,2420,6,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,2173,328,178,150,5128,5113,15,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,77,2245,1563,682,6498,6476,22,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),صغيرة,14,14,4,10,101,101,0,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متناهية الصغر,343,33,14,19,839,837,2,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),متوسطة,1,7,3,4,44,44,0,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,296,1070,606,464,4687,4684,3,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,16,2176,1684,492,5396,5392,4,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,377,128,77,51,902,899,3,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,139,3245,2010,1235,10389,10328,61,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,27,122,73,49,515,515,0,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,43,13,11,2,87,87,0,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,7,120,68,52,438,434,4,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,31,103,60,43,415,414,1,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,39,3,3,0,85,84,1,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,15,297,214,83,1084,1084,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,21,58,31,27,302,302,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,1,215,213,2,184,184,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,36,9,6,3,84,84,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,4,93,51,42,269,268,1,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,1390,2186,962,1224,23976,23862,114,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,38,5463,3622,1841,12515,12489,26,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,1781,307,160,147,4621,4585,36,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,373,5217,2547,2670,27579,27525,54,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,167,437,255,182,2840,2836,4,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,8,903,737,166,2554,2553,1,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,273,49,31,18,711,710,1,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,44,955,548,407,3337,3337,0,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,101,262,167,95,1416,1414,2,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,7,1155,795,360,2491,2488,3,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,174,37,27,10,410,402,8,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,42,1046,753,293,3748,3744,4,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,30,113,63,50,374,370,4,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,2,381,353,28,533,533,0,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,50,17,9,8,112,112,0,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,8,221,145,76,694,694,0,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,73,198,115,83,1085,1083,2,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,2,433,418,15,343,343,0,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,141,28,20,8,338,337,1,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,31,683,417,266,2013,2013,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,40,68,37,31,489,489,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,1,254,254,0,164,163,1,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,137,25,17,8,324,324,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,11,201,120,81,945,945,0,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,159,518,324,194,2339,2331,8,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,6,1082,836,246,1727,1726,1,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,292,63,33,30,751,746,5,,,,,,,,,,
2023,1,منطقة عسير,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,45,971,574,397,3336,3335,1,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,268,778,389,389,3742,3728,14,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,16,2973,1981,992,6085,6078,7,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,511,150,85,65,1234,1224,10,,,,,,,,,,
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,101,2289,1358,931,7804,7794,10,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,صغيرة,35,89,41,48,502,501,1,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,كبيرة,1,344,326,18,423,423,0,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,متناهية الصغر,77,13,7,6,203,203,0,,,,,,,,,,
2023,1,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,متوسطة,25,526,289,237,1809,1804,5,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,صغيرة,66,276,177,99,1012,1011,1,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,كبيرة,3,423,404,19,885,885,0,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,متناهية الصغر,53,36,15,21,117,117,0,,,,,,,,,,
2023,1,المنطقة الشرقية,صنع منتجات المطاط واللدائن,متوسطة,36,1051,783,268,2635,2629,6,,,,,,,,,,
2023,1,منطقة الباحة,صنع منتجات المطاط واللدائن,متناهية الصغر,2,0,0,0,5,5,0,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المطاط واللدائن,صغيرة,2,15,8,7,31,31,0,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المطاط واللدائن,كبيرة,1,118,82,36,382,382,0,,,,,,,,,,
2023,1,منطقة الجوف,صنع منتجات المطاط واللدائن,متناهية الصغر,14,2,1,1,37,37,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المطاط واللدائن,صغيرة,1,3,1,2,6,6,0,,,,,,,,,,
2023,1,منطقة الحدود الشمالية,صنع منتجات المطاط واللدائن,متناهية الصغر,1,0,0,0,1,1,0,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المطاط واللدائن,صغيرة,144,668,283,385,2598,2583,15,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المطاط واللدائن,كبيرة,10,926,462,464,3184,3179,5,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المطاط واللدائن,متناهية الصغر,221,74,35,39,546,537,9,,,,,,,,,,
2023,1,منطقة الرياض,صنع منتجات المطاط واللدائن,متوسطة,93,2553,1325,1228,7828,7816,12,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المطاط واللدائن,صغيرة,4,21,7,14,61,61,0,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المطاط واللدائن,متناهية الصغر,18,6,1,5,31,30,1,,,,,,,,,,
2023,1,منطقة القصيم,صنع منتجات المطاط واللدائن,متوسطة,8,255,160,95,654,653,1,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المطاط واللدائن,صغيرة,25,130,68,62,511,511,0,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المطاط واللدائن,كبيرة,1,127,63,64,333,333,0,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المطاط واللدائن,متناهية الصغر,22,11,5,6,31,31,0,,,,,,,,,,
2023,1,منطقة المدينة المنورة,صنع منتجات المطاط واللدائن,متوسطة,8,232,144,88,681,677,4,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المطاط واللدائن,صغيرة,7,30,16,14,98,98,0,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المطاط واللدائن,متناهية الصغر,4,3,1,2,8,8,0,,,,,,,,,,
2023,1,منطقة تبوك,صنع منتجات المطاط واللدائن,متوسطة,1,20,12,8,77,77,0,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المطاط واللدائن,صغيرة,1,2,1,1,8,8,0,,,,,,,,,,
2023,1,منطقة جازان,صنع منتجات المطاط واللدائن,متناهية الصغر,8,1,1,0,27,27,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المطاط واللدائن,صغيرة,3,19,10,9,55,55,0,,,,,,,,,,
2023,1,منطقة حائل,صنع منتجات المطاط واللدائن,متناهية الصغر,5,0,0,0,11,11,0,,,,,,,,,,
